SITE_ID,Latitude,Longitude,StartYear,EndYear,In_Dataset_1,In_Dataset_2,In_Dataset_3
US-xNG,46.7697,-100.9154,2017,2023,1,0,1
US-xNQ,40.1776,-112.4524,2017,2023,1,0,1
US-xNW,40.0543,-105.5824,2017,2021,0,0,1
US-xPU,19.5531,-155.3173,2019,2021,0,0,1
US-xRM,40.2759,-105.5459,2017,2023,1,0,1
US-xRN,35.9641,-84.2826,2020,2021,0,0,1
US-xSB,29.6893,-81.9934,2017,2023,1,0,1
US-xSC,38.8929,-78.1395,2016,2023,1,0,1
US-xSE,38.8901,-76.56,2017,2023,1,0,1
US-xSJ,37.1088,-119.7323,2018,2023,1,0,1
US-xSL,40.4619,-103.0293,2017,2023,1,0,1
US-xSP,37.0334,-119.2622,2017,2021,0,0,1
US-xSR,31.9107,-110.8355,2017,2023,1,0,1
US-Xst,45.5089,-89.5864,2017,2023,1,0,1
US-xTA,32.9505,-87.3933,2017,2023,1,0,1
US-xTE,37.0058,-119.006,2018,2021,0,0,1
US-xTL,68.6611,-149.3705,2017,2023,1,0,1
US-xTR,45.4937,-89.5857,2017,2023,1,0,1
US-xUK,39.0404,-95.1921,2017,2023,1,0,1
US-xUN,46.2339,-89.5373,2017,2023,1,0,1
US-xWD,47.1282,-99.2414,2017,2023,1,0,1
US-xWR,45.8205,-121.9519,2018,2021,0,0,1
US-xYE,44.9535,-110.5391,2018,2023,1,0,1
US-YK2,61.2548,-163.259,2019,2022,1,0,0
